dataset,Stationsnamn,latitud (DD),longitud (DD)
,ALSBÄCK,58.32260158,11.5460377
Kattegatt,ANHOLT E,56.66717272,12.11529842
Skagerrak,BROA,58.25537702,11.22861279
,FLADEN,57.19185271,11.6647582
Kattegatt,N14 FALKENBERG,56.93999727,12.21174855
,PRICKEN,58.2568,11.4517
Skagerrak,SLÄGGÖ,58.25874607,11.43386982
Skagerrak,Å17,58.2781001,10.51034461
