m0_res,species_f
-1.0447657008704276,Anguilla anguilla
1.0148792521249397,Anguilla anguilla
-0.2823329697542398,Anguilla anguilla
-1.8274695355508181,Anguilla anguilla
-0.5280321496718237,Anguilla anguilla
0.04267081934870029,Anguilla anguilla
0.04110824709683519,Anguilla anguilla
0.314132762555767,Anguilla anguilla
0.5546769650290297,Anguilla anguilla
-1.2858526534110768,Anguilla anguilla
1.4755007586879092,Anguilla anguilla
0.4439838015323353,Anguilla anguilla
-0.3987290887543617,Anguilla anguilla
0.9583394884337195,Anguilla anguilla
0.16806931876749504,Anguilla anguilla
0.5118603087056667,Anguilla anguilla
0.26286252067705834,Anguilla anguilla
-0.8918635018945312,Anguilla anguilla
-0.007762041795475295,Anguilla anguilla
-0.007762041795475295,Anguilla anguilla
-1.3712633616446728,Anguilla anguilla
-0.9972616332358253,Anguilla anguilla
-0.08341288001902114,Anguilla anguilla
0.5184501657099541,Anguilla anguilla
-0.739060357068651,Anguilla anguilla
-0.13759382785945798,Anguilla anguilla
-1.7588890801033767,Anguilla anguilla
0.44485519121892125,Anguilla anguilla
0.44485519121892125,Anguilla anguilla
-1.699315216879702,Anguilla anguilla
0.4407003856640211,Anguilla anguilla
0.08756553280000813,Anguilla anguilla
0.12087024738572952,Anguilla anguilla
-0.7174106106499707,Anguilla anguilla
-0.7174106106499707,Anguilla anguilla
-0.48026011160815507,Anguilla anguilla
0.0889151208013329,Anguilla anguilla
0.6257630551309391,Anguilla anguilla
0.8829703059541918,Anguilla anguilla
1.1331403769049573,Anguilla anguilla
1.3765797878395067,Anguilla anguilla
2.069323361315054,Anguilla anguilla
-2.035559020158699,Anguilla anguilla
-1.055224964493397,Anguilla anguilla
0.11677680768709386,Anguilla anguilla
0.3886203954164179,Anguilla anguilla
0.6527713750316785,Anguilla anguilla
1.1593550012335745,Anguilla anguilla
1.1593550012335745,Anguilla anguilla
1.4024181505858642,Anguilla anguilla
-0.1400872428188599,Anguilla anguilla
-0.07149660396516241,Anguilla anguilla
0.20568873433025722,Anguilla anguilla
-0.5303801613866175,Anguilla anguilla
0.6488763949627558,Anguilla anguilla
0.09592773550043589,Anguilla anguilla
-1.315844900752744,Anguilla anguilla
-0.11108561964697626,Anguilla anguilla
0.1679893004218505,Anguilla anguilla
1.449915824556414,Anguilla anguilla
-0.6929794468891204,Anguilla anguilla
-0.6929794468891204,Anguilla anguilla
-0.10922450328065433,Anguilla anguilla
1.6875578496880388,Anguilla anguilla
-0.2104473232701604,Anguilla anguilla
-0.2104473232701604,Anguilla anguilla
0.07020971441157109,Anguilla anguilla
0.30879349025115865,Anguilla anguilla
0.06256290774692473,Anguilla anguilla
0.06256290774692473,Anguilla anguilla
0.6002186110247469,Anguilla anguilla
-0.24030505775549316,Anguilla anguilla
0.3066783662984117,Anguilla anguilla
-1.847503987264898,Anguilla anguilla
