mlength_res,species_f
0.11050817817754902,Aphia minuta
0.11050817817754902,Aphia minuta
-1.9384038820960279,Aphia minuta
-0.1840446673772311,Aphia minuta
-0.06005423903407095,Aphia minuta
-0.06005423903407095,Aphia minuta
-0.06005423903407095,Aphia minuta
0.06707453911146712,Aphia minuta
0.3316969503291192,Aphia minuta
0.6117441846763011,Aphia minuta
0.7581615392253329,Aphia minuta
1.0441875863768517,Aphia minuta
-0.5227244888163188,Aphia minuta
-0.40590342255384554,Aphia minuta
-0.40590342255384554,Aphia minuta
-0.2865852550246503,Aphia minuta
-0.03952159542439474,Aphia minuta
-0.03952159542439474,Aphia minuta
0.22036127978016837,Aphia minuta
0.7863459476629657,Aphia minuta
0.7863459476629657,Aphia minuta
-0.7630549354184549,Aphia minuta
-0.057364169262646154,Aphia minuta
0.0699070835764133,Aphia minuta
0.200562619723292,Aphia minuta
0.6152416602319474,Aphia minuta
0.37071271688616153,Aphia minuta
0.8398914937165809,Aphia minuta
-0.4530701275844893,Aphia minuta
-0.33615269809622217,Aphia minuta
0.030951996106716506,Aphia minuta
0.1595341825940519,Aphia minuta
0.5671894316264644,Aphia minuta
0.7111690160108576,Aphia minuta
-1.267407253066171,Aphia minuta
-1.164467247564909,Aphia minuta
-0.9557206894484418,Aphia minuta
-0.8494940974623613,Aphia minuta
-0.6322898500645039,Aphia minuta
-0.5208936210468788,Aphia minuta
-0.40735389274886946,Aphia minuta
-0.29145822825030443,Aphia minuta
-0.05174010488244866,Aphia minuta
0.07251688541002801,Aphia minuta
0.4655302387404807,Aphia minuta
0.6040300442534449,Aphia minuta
0.6040300442534449,Aphia minuta
1.0452051140463878,Aphia minuta
1.2015908146382817,Aphia minuta
1.3630271730347705,Aphia minuta
-0.15216716938864192,Aphia minuta
0.9578075907994901,Aphia minuta
-1.757039554029347,Aphia minuta
-1.449595707909797,Aphia minuta
-0.8211010523480577,Aphia minuta
-0.7120213207339648,Aphia minuta
-0.7120213207339648,Aphia minuta
-0.7120213207339648,Aphia minuta
-0.7120213207339648,Aphia minuta
-0.37306131232727935,Aphia minuta
-0.37306131232727935,Aphia minuta
-0.37306131232727935,Aphia minuta
-0.25544542734200604,Aphia minuta
-0.25544542734200604,Aphia minuta
-0.13514947844652553,Aphia minuta
-0.011951165743221673,Aphia minuta
-0.011951165743221673,Aphia minuta
0.11437396228552378,Aphia minuta
0.11437396228552378,Aphia minuta
0.11437396228552378,Aphia minuta
0.11437396228552378,Aphia minuta
0.24405251024190042,Aphia minuta
0.24405251024190042,Aphia minuta
0.37731317887412175,Aphia minuta
0.37731317887412175,Aphia minuta
0.5143866590457835,Aphia minuta
0.5143866590457835,Aphia minuta
0.5143866590457835,Aphia minuta
0.8009038607761767,Aphia minuta
0.8009038607761767,Aphia minuta
0.8009038607761767,Aphia minuta
0.9508174532421106,Aphia minuta
0.9508174532421106,Aphia minuta
0.9508174532421106,Aphia minuta
0.9508174532421106,Aphia minuta
1.1054831848281041,Aphia minuta
1.1054831848281041,Aphia minuta
1.265139008336781,Aphia minuta
-0.5567222849966679,Aphia minuta
-0.31691070807223387,Aphia minuta
-0.1929486366172058,Aphia minuta
-0.06594913897643925,Aphia minuta
-0.06594913897643925,Aphia minuta
-0.06594913897643925,Aphia minuta
0.0643408171584808,Aphia minuta
0.0643408171584808,Aphia minuta
0.0643408171584808,Aphia minuta
0.19817681246572985,Aphia minuta
0.19817681246572985,Aphia minuta
0.19817681246572985,Aphia minuta
0.335816934510026,Aphia minuta
0.335816934510026,Aphia minuta
0.335816934510026,Aphia minuta
0.4775216686509504,Aphia minuta
0.6235537336134144,Aphia minuta
0.7741778736634964,Aphia minuta
1.090270024487648,Aphia minuta
1.090270024487648,Aphia minuta
1.090270024487648,Aphia minuta
1.2562753991395221,Aphia minuta
1.2562753991395221,Aphia minuta
-1.346902277678373,Aphia minuta
-1.1396721192129868,Aphia minuta
-0.60119271368435645,Aphia minuta
-0.60119271368435645,Aphia minuta
-0.48828122441378474,Aphia minuta
